táimid	ˈt̪ˠɑːmʲədʲ
cnáib	kɾˠɑːbʲ
fíodóir	ˈfʲiːd̪ˠoːɾʲ
cá	kɑː
dá	d̪ˠɑː
lítir	ˈl̠ʲiːtʲəɾʲ
gá	ɡɑː
lá	l̪ˠɑː
má	mˠɑː
ná	n̪ˠɑː
pá	pˠɑː
tuaisceart	ˈt̪ˠuəʃcəɾˠt̪ˠ
sá	sˠɑː
tá	t̪ˠɑː
Ph	fˠ
Mh	vʲ
toiligh	ˈt̪ˠɛlʲiː
líon	l̠ʲiːnˠ
docht	d̪ˠɔxt̪ˠ
mharc	waɾˠk
foirmle	ˈfˠɛɾʲəmʲlʲə
hocht	hɔxt̪ˠ
fíon	fʲiːnˠ
uachta	ˈuəxt̪ˠə
díon	dʲiːnˠ
iargúil	ˈiəɾˠɡuːlʲ
eagar	ˈaɡəɾˠ
nocht	n̪ˠɔxt̪ˠ
bagar	ˈbˠaɡəɾˠ
agair	ˈaɡəɾʲ
stádas	ˈsˠt̪ˠɑːd̪ˠəsˠ
bhfágáil	ˈwɑːɡɑːlʲ
cun	kʊnˠ
sistéal	ˈʃɪʃtʲeːlˠ
tostar	ˈt̪ˠɔsˠt̪ˠəɾˠ
bun	bˠun̪ˠ
déarfaí	ˈdʲeːɾˠfˠiː
bocht	bˠɔxt̪ˠ
sheisear	ˈhɛʃəɾˠ
ngair	ŋaɾʲ
di	dʲɪ
Bh	vʲ
sínid	ˈʃiːnʲidʲ
bliana	ˈbʲlʲiən̪ˠə
coláistí	ˈkɔlˠɑːʃtʲiː
réalta	ˈɾˠeːl̪ˠt̪ˠə
círe	ˈciːɾʲə
plúir	pˠlˠuːɾʲ
breacán	ˈbʲɾʲakɑːnˠ
abarthar	ˈabˠəɾˠhəɾˠ
Dia dhaoibh	ˌdʲiə ˈɣiːvʲ
leantar	ˈl̠ʲan̪ˠt̪ˠəɾˠ
béim	bʲeːmʲ
géim	ɟeːmʲ
gaosán	ˈɡiːsˠɑːnˠ
tíre	ˈtʲiːɾʲə
míre	ˈmʲiːɾʲə
léim	l̠ʲeːmʲ
n-óg	n̪ˠoːɡ
réim	ɾˠeːmʲ
cúbtha	ˈkuːpˠə
thair	haɾʲ
t-iúr	tʲuːɾˠ
ghair	ɣaɾʲ
spóla	ˈsˠpˠoːlˠə
fírinneach	ˈfʲiːɾʲən̠ʲəx
mhair	waɾʲ
téis	tʲeːʃ
geimhrí	ˈɟɛvʲɾʲiː
mitheas	ˈmʲɪhəsˠ
plódaithe	ˈpˠlˠoːd̪ˠɪhə
Éadbhard	ˈeːd̪ˠwəɾˠd̪ˠ
moch	mˠɔx
feice	ˈfʲɛcɪ
uain	uənʲ
deice	ˈdʲɛcɪ
fútsa	ˈfˠuːt̪ˠsˠə
cuinneog	ˈkɪn̠ʲoːɡ
bain	bˠanʲ
héis	heːʃ
fuaimnigh	ˈfˠuəmʲnʲə
leice	ˈl̠ʲɛcɪ
léis	l̠ʲeːʃ
athrú	ˈahɾˠuː
haicmí	ˈhacmʲiː
stá	sˠt̪ˠɑː
séis	ʃeːʃ
Inis Meáin	ˌɪnʲəʃ ˈmʲɑːnʲ
um	ʊmˠ
cabaireacht	ˈkɑbˠəɾʲəxt̪ˠ
cis	cɪʃ
ais	aʃ
cathach	ˈkahəx
scéalaí	ˈʃceːlˠiː
iomaire	ˈʊmˠəɾʲə
uis	ɪʃ
dtorann	ˈd̪ˠɔɾˠən̪ˠ
pis	pʲɪʃ
ois	ɪʃ
nis	nʲiʃ
nn	n̪ˠ
cruacha	ˈkɾˠuəxə
spréim	sˠpʲɾʲeːmʲ
huile	ˈhɪlʲə
rúibric	ˈɾˠuːbʲɾʲɪc
bláith	bˠlˠɑː
fadálach	ˈfˠad̪ˠɑːlˠəx
crá	kɾˠɑː
brá	bˠɾˠɑː
am	əmˠ
bhog	wɔɡ
trá	t̪ˠɾˠɑː
sholas	ˈhɔlˠəsˠ
Nn	n̪ˠ
piantar	ˈpʲiən̪ˠt̪ˠəɾˠ
saol	sˠiːlˠ
galún	ˈɡalˠuːnˠ
gaol	ɡiːlˠ
faol	fˠiːlˠ
lucha	ˈl̪ˠʊxə
ceaptar	ˈcapˠt̪ˠəɾˠ
maol	mˠiːlˠ
scraiste	ˈsˠkɾˠaʃtʲə
saothar	ˈsˠiːhəɾˠ
dhósan	ˈɣoːsˠənˠ
loch	l̪ˠɔx
deatach	ˈdʲat̪ˠəx
thig	hiɟ
sheamra	ˈhamˠɾˠə
dhona	ˈɣɔn̪ˠə
carachtair	ˈkaɾˠəxt̪ˠəɾʲ
chúns	xuːn̪ˠsˠ
gasúr	ˈɡasˠuːɾˠ
dtaenna	ˈd̪ˠeːn̪ˠə
casúr	ˈkasˠuːɾˠ
gualann	ˈɡuəlˠən̪ˠ
briosca	ˈbʲɾʲɪsˠkə
tuath	t̪ˠuə
baois	bˠiːʃ
oileann	ˈɛlʲən̪ˠ
caol	kiːlˠ
luath	l̪ˠuə
daol	d̪ˠiːlˠ
gréisceach	ˈɟɾʲeːʃcəx
puiteach	ˈpˠʊtʲəx
fuath	fˠuə
teoiric	ˈtʲoːɾʲɪc
dúisigh	ˈd̪ˠuːʃə
aistritheoir	ˈaʃtʲɾʲəhoːɾʲ
taois	t̪ˠiːʃ
meadar	ˈmʲad̪ˠəɾˠ
bp	bˠ
dainséar	ˈd̪ˠan̠ʲʃeːɾˠ
saoiste	ˈsˠiːʃtʲə
tagaimid	ˈt̪ˠaɡəmʲədʲ
bochtaineacht	ˈbˠɔxt̪ˠənʲəxt̪ˠ
codail	ˈkod̪ˠəlʲ
dosanna	ˈd̪ˠɔsˠən̪ˠə
tógtar	ˈt̪ˠoːkt̪ˠəɾˠ
n-áit	n̪ˠɑːtʲ
miste	ˈmʲɪʃtʲə
iolar	ˈɪlˠəɾˠ
reiligiún	ˈɾˠɛlʲɪɟuːnˠ
scéal	ʃceːlˠ
dála	ˈd̪ˠɑːlˠə
ngaoith	ŋiːh
phóca	ˈfˠoːkə
aithreacha	ˈahɾʲəxə
stagún	ˈsˠt̪ˠaɡuːnˠ
léas	l̠ʲeːsˠ
tobán	ˈt̪ˠɔbˠɑːnˠ
sodar	ˈsˠɔd̪ˠəɾˠ
milis	ˈmʲɪlʲəʃ
lochta	ˈl̪ˠɔxt̪ˠə
ar	ɛɾʲ
phis	fʲɪʃ
córam	ˈkoːɾˠəmˠ
ducht	d̪ˠʊxt̪ˠ
os	ɔsˠ
diúic	dʲuːc
óstán	ˈoːsˠt̪ˠɑːnˠ
dreolán	ˈdʲɾʲoːlˠɑːnˠ
lucht	l̪ˠʊxt̪ˠ
Laois	l̪ˠiːʃ
ghairid	ˈɣaɾʲədʲ
gcatach	ˈɡat̪ˠəx
cúram	ˈkuːɾˠəmˠ
ceannasaí	ˈcan̪ˠəsˠiː
cluifí	ˈklˠifʲiː
mbróin	mˠɾˠoːnʲ
as	asˠ
Lúnasa	ˈl̪ˠuːn̪ˠəsˠə
dt	d̪ˠ
seamróg	ˈʃamˠɾˠoːɡ
míodún	ˈmʲiːd̪ˠuːnˠ
halt	hal̪ˠt̪ˠ
dearc	dʲaɾˠk
plaisteacht	ˈpˠlˠaʃtʲəxt̪ˠ
sorcha	ˈsˠɔɾˠəxə
féile	ˈfʲeːlʲə
béas	bʲeːsˠ
Ostair	ˈɔsˠt̪ˠəɾʲ
déas	dʲeːsˠ
bas	bˠasˠ
síle	ˈʃiːlʲə
las	l̪ˠasˠ
béile	ˈbʲeːlʲə
céile	ˈceːlʲə
nuair	n̪ˠuəɾʲ
eich	ɛç
plaisteach	ˈpˠlˠaʃtʲəx
díle	ˈdʲiːlʲə
fuair	fˠuəɾʲ
bristeacha	ˈbʲɾʲɪʃtʲəxə
stró	sˠt̪ˠɾˠoː
rógaire	ˈɾˠoːɡəɾʲə
péitseog	ˈpʲeːtʲʃoːɡ
stair	sˠt̪ˠaɾʲ
Síle	ˈʃiːlʲə
ríon	ɾˠiːnˠ
clogaide	ˈklˠɔɡədʲə
deisealán	ˈdʲɛʃəlˠɑːnˠ
socra	ˈsˠɔkɾˠə
laig	l̪ˠaɟ
ruthag	ˈɾˠʊhəɡ
áthas	ˈɑːhəsˠ
clóca	ˈklˠoːkə
ng	ŋ
seasca	ˈʃasˠkə
hata	ˈhat̪ˠə
fata	ˈfˠat̪ˠə
siabainn	ˈʃiəbˠən̠ʲ
uireasa	ˈɪɾʲəsˠə
neantóg	ˈn̠ʲan̪ˠt̪ˠoːɡ
gasra	ˈɡasˠɾˠə
béic	bʲeːc
aiféala	ˈafʲeːlˠə
dhise	ˈjɪʃə
traein	t̪ˠɾˠeːnʲ
cáinte	ˈkɑːn̠ʲtʲə
matrarc	ˈmˠat̪ˠɾˠəɾˠk
longa	ˈl̪ˠʊŋə
buidéal	ˈbˠɪdʲeːlˠ
ceap	capˠ
craein	kɾˠeːnʲ
seanchas	ˈʃan̪ˠəxəsˠ
cóiriú	ˈkoːɾʲuː
draein	d̪ˠɾˠeːnʲ
iarsmalann	ˈiəɾˠsˠmˠəlˠən̪ˠ
dtaga	ˈd̪ˠaɡə
Méabh	mʲeːw
dúr	d̪ˠuːɾˠ
cúr	kuːɾˠ
shé	heː
deirinn	ˈdʲɛɾʲən̠ʲ
-í	iː
Muirís	ˈmˠɪɾʲiːʃ
muice	ˈmˠɪcɪ
n-ae	n̪ˠeː
clogaid	ˈklˠɔɡədʲ
ché	çeː
iúr	uːɾˠ
deirge	ˈdʲɛɾʲɪɟɪ
húr	huːɾˠ
feirge	ˈfʲɛɾʲɪɟɪ
breab	bʲɾʲabˠ
ngé	ɲeː
nach cuma	n̪ˠax ˈkʊmˠə
Éire	ˈeːɾʲə
pictiúr	ˈpʲɪctʲuːɾˠ
Taoiseach	ˈt̪ˠiːʃəx
cupáin	ˈkʊpˠɑːnʲ
deileanna	ˈdʲɛlʲən̪ˠə
íoth	iː
Inis	ˈɪnʲɪʃ
crúb	kɾˠuːbˠ
maise	ˈmˠaʃə
fair	fˠaɾʲ
chros	xɾˠɔsˠ
hair	haɾʲ
baise	ˈbˠaʃə
síthe	ˈʃiːhə
Ruairí	ˈɾˠuəɾʲiː
croith	kɾˠɔh
preab	pʲɾʲabˠ
crómasómach	ˈkɾˠoːmˠəsˠoːmˠəx
beacha	ˈbʲaxə
ghlacann	ˈɣlˠakən̪ˠ
ascaille	ˈasˠkəl̠ʲə
tair	t̪ˠaɾʲ
mair	mˠaɾʲ
bhaist	waʃtʲ
smaoinigh	ˈsˠmˠiːnʲə
báis	bˠɑːʃ
Páidín	ˈpˠɑːdʲiːnʲ
bleacht	bʲlʲaxt̪ˠ
cleacht	clʲaxt̪ˠ
bróg	bˠɾˠoːɡ
uimhreacha	ˈɪvʲɾʲəxə
cáis	kɑːʃ
lofa	ˈl̪ˠɔfˠə
caite	ˈkatʲə
bhfáinní	ˈwɑːn̠ʲiː
maite	ˈmˠatʲə
maidineacha	ˈmˠadʲənʲəxə
critice	ˈcɾʲɪtʲɪcɪ
ndé	n̠ʲeː
beach chapaill	bʲax ˈxapˠəl̠ʲ
shiúl	çuːlˠ
Éireann	ˈeːɾʲən̪ˠ
loscann	ˈl̪ˠɔsˠkən̪ˠ
ciclipéid	ˈcɪclʲɪpʲeːdʲ
sócúlach	ˈsˠoːkuːlˠəx
colún	ˈkɔlˠuːnˠ
thaire	ˈhaɾʲə
féilire	ˈfʲeːlʲəɾʲə
bréagán	ˈbʲɾʲeːɡɑːnˠ
dís	dʲiːʃ
bís	bʲiːʃ
Uí	iː
cnáimh	kɾˠɑːvʲ
líne	ˈl̠ʲiːnʲə
níne	ˈn̠ʲiːnʲə
Ní	nʲiː
ghéig	jeːɟ
tarta	ˈt̪ˠaɾˠt̪ˠə
rís	ɾˠiːʃ
fí	fʲiː
mís	mʲiːʃ
Latharna	ˈl̪ˠahəɾˠn̪ˠə
bí	bʲiː
sceach	ʃcax
fís	fʲiːʃ
geise	ˈɟɛʃə
gcóstaí	ˈɡoːsˠt̪ˠiː
scuab	sˠkuəbˠ
boige	ˈbˠɛɟə
deise	ˈdʲɛʃə
altann	ˈal̪ˠt̪ˠən̪ˠ
ceonna	ˈcoːn̪ˠə
rí	ɾˠiː
rabhadar	ˈɾˠawəd̪ˠəɾˠ
tí	tʲiː
sí	ʃiː
muinín	ˈmˠɪnʲiːnʲ
mí	mʲiː
thairsti	ˈhaɾˠʃtʲə
úsáideoir	ˈuːsˠɑːdʲoːɾʲ
clóscríobhaí	ˈklˠoːʃcɾʲiːwiː
mbristeacha	ˈmʲɾʲɪʃtʲəxə
imeacht	ˈimʲəxt̪ˠ
bhféar	vʲeːɾˠ
paidir	ˈpˠadʲəɾʲ
crúibín	ˈkɾˠuːbʲiːnʲ
thairbhe	ˈhaɾʲəvʲə
spadánta	ˈsˠpˠad̪ˠɑːn̪ˠt̪ˠə
gobtha	ˈɡɔpˠə
ceapaire	ˈcapˠəɾʲə
ropad	ˈɾˠɔpˠəd̪ˠ
urchóideach	ˈʊɾˠəxoːdʲəx
gheasa	ˈjasˠə
bleaist	bʲlʲaʃtʲ
géag	ɟeːɡ
seacláid	ˈʃæklˠɑːdʲ
héag	heːɡ
mháthair	ˈwɑːhəɾʲ
geis	ɟɛʃ
feis	fʲɛʃ
earráideach	ˈaɾˠaːdʲəx
damáiste	ˈd̪ˠamˠɑːʃtʲə
i gcónaí	əˈɡuːn̪ˠiː
huaire	ˈhuəɾʲə
Afraic	ˈafˠɾˠɪc
fuaire	ˈfˠuəɾʲə
uimhreach	ˈɪvʲɾʲəx
cárb	kaːɾˠbˠ
éisc	eːʃc
ciotach	ˈcɪt̪ˠəx
bléin	bʲlʲeːnʲ
scaití	ˈsˠkatʲiː
rothair	ˈɾˠohəɾʲ
charaid	ˈxaɾˠədʲ
caoineas	ˈkiːnʲəsˠ
ghustal	ˈɣʊsˠt̪ˠəlˠ
bláth	bˠlˠɑː
deireanach	ˈdʲɛɾʲən̪ˠəx
cuntais	ˈkʊn̪ˠt̪ˠəʃ
bromach	ˈbˠɾˠɔmˠəx
dhuibh	ɣɪvʲ
chúig	xuːɟ
ghada	ˈɣad̪ˠə
Araibis	ˈaɾˠəbʲəʃ
taga	ˈt̪ˠaɡə
léiriú	ˈl̠ʲeːɾʲuː
buíoch	bˠiːx
Éabha	ˈeːwə
bheir	vʲɛɾʲ
sómas	ˈsˠoːmˠəsˠ
dhíotsa	ˈjiːt̪ˠsˠə
glice	ˈɟlʲɪcɪ
tige	ˈtʲɪɟɪ
phrioc	fʲɾʲʊk
bhfuilim	ˈwɪlʲəmʲ
cistineacha	ˈcɪʃtʲɪnʲəxə
lige	ˈl̠ʲɪɟə
stábh	sˠt̪ˠɑːw
maidin	ˈmˠadʲənʲ
bige	ˈbʲɪɟɪ
ngoilí	ˈŋɛlʲiː
éadaigh	ˈeːd̪ˠə
hÉirinn	ˈheːɾʲən̠ʲ
tais	t̪ˠaʃ
dúisím	ˈd̪ˠuːʃiːmʲ
léinte	ˈl̠ʲeːn̠ʲtʲə
réiteoir	ˈɾˠeːtʲoːɾʲ
hais	haʃ
gais	ɡaʃ
éar	eːɾˠ
cais	kaʃ
Gearóid	ˈɟaɾˠoːdʲ
thuairim	ˈhuəɾʲəmʲ
mais	mˠaʃ
fhiartha	ˈiəɾˠhə
curacha	ˈkʊɾˠəxə
báine	ˈbˠɑːnʲə
dóbair	ˈd̪ˠoːbˠəɾʲ
gairge	ˈɡaɾʲɪɟə
breise	ˈbʲɾʲɛʃə
dochtúra	ˈd̪ˠɔxt̪ˠuːɾˠə
fichid	ˈfʲɪçədʲ
fearthainn	ˈfʲaɾˠhən̠ʲ
fágann	ˈfˠɑːɡən̪ˠ
bráid	bˠɾˠɑːdʲ
fhéadann	ˈeːd̪ˠən̪ˠ
brisim	ˈbʲɾʲɪʃəmʲ
shir	hɪɾʲ
gcis	ɟɪʃ
seamra	ˈʃamˠɾˠə
tuige	ˈt̪ˠɪɟə
ród	ɾˠoːd̪ˠ
gráiniúil	ˈɡɾˠɑːnʲuːlʲ
iarrtar	ˈiəɾˠt̪ˠəɾˠ
cab	kabˠ
fód	fˠoːd̪ˠ
fhir	ɪɾʲ
dulta	ˈd̪ˠʊl̪ˠt̪ˠə
cúinne	ˈkuːn̠ʲə
dúinne	ˈd̪ˠuːn̠ʲə
tuir	t̪ˠɪɾʲ
Domhnach	ˈd̪ˠəun̪ˠəx
dearfa	ˈdʲaɾˠəfˠə
ceada	ˈcad̪ˠə
ar scáth	ɛɾʲˈsˠkɑː
bráthair	ˈbˠɾˠɑːhəɾʲ
saoistí	ˈsˠiːʃtʲiː
siúinéir	ˈʃuːnʲeːɾʲ
cuir	kɪɾʲ
eascrach	ˈasˠkɾˠəx
sliotar	ˈʃlʲɪt̪ˠəɾˠ
seada	ˈʃad̪ˠə
thart	haɾˠt̪ˠ
thairstise	ˈhaɾˠʃtʲəʃə
báisteach	ˈbˠɑːʃtʲəx
ceathrair	ˈcahɾˠəɾʲ
thine	ˈhɪnʲə
reoiteog	ˈɾˠoːtʲoːɡ
cibeal	ˈcɪbʲəlˠ
úsáideach	ˈuːsˠɑːdʲəx
Seáin	ʃɑːnʲ
achar	ˈaxəɾˠ
bacacha	ˈbˠakəxə
ghine	ˈjɪnʲə
chas	xɑsˠ
chine	ˈçɪnʲə
Corcaigh	ˈkɔɾˠkə
tiobraid	ˈtʲʊbˠɾˠədʲ
tiúba	ˈtʲuːbˠə
litir	ˈl̠ʲɪtʲəɾʲ
ropas	ˈɾˠɔpˠəsˠ
go leor	ɡəˈl̠ʲoːɾˠ
garanna	ˈɡaɾˠən̪ˠə
agaibhse	ˈaɡəvʲʃə
mhuca	ˈwʊkə
lón	l̪ˠoːnˠ
saolta	ˈsˠiːl̪ˠt̪ˠə
bhfáinne	ˈwɑːn̠ʲə
Pholainn	ˈfˠɔlˠən̠ʲ
bog	bˠɔɡ
miotas	ˈmʲɪt̪ˠəsˠ
chíre	ˈçiːɾʲə
mór	mˠoːɾˠ
pór	pˠoːɾˠ
péinis	ˈpʲeːnʲəʃ
cluife	ˈklˠifʲə
log	l̪ˠɔɡ
mholainn	ˈwɔlˠən̠ʲ
cór	koːɾˠ
shiúil	çuːlʲ
frat	fˠɾˠat̪ˠ
Ceilteach	ˈcɛl̠ʲtʲəx
dúlamán	ˈd̪ˠuːlˠəmˠɑːnˠ
deiread	ˈdʲɛɾʲəd̪ˠ
bheag	vʲɞɡ
beiread	ˈbʲɛɾʲəd̪ˠ
copóg	ˈkɔpˠoːɡ
goilim	ˈɡɛlʲəmʲ
luím	l̪ˠiːmʲ
theacht	haxt̪ˠ
mbod	mˠɔd̪ˠ
Faoilleach	ˈfˠiːl̠ʲəx
bródúil	ˈbˠɾˠoːd̪ˠuːlʲ
bhod	wɔd̪ˠ
bagún	ˈbˠaɡuːnˠ
meas	mʲasˠ
fiachta	ˈfʲiəxt̪ˠə
seas	ʃasˠ
pocaire gaoithe	ˈpˠɔkəɾʲə ˈɡiːhə
Satharn	ˈsˠahəɾˠn̪ˠ
deá-	dʲɑː
sheomra	ˈçoːmˠɾˠə
teas	tʲasˠ
aoire	ˈiːɾʲə
chloch	xlˠɔx
síbín	ˈʃiːbʲiːnʲ
doire	ˈd̪ˠɛɾʲə
Aoine	ˈiːnʲə
brabúsach	ˈbˠɾˠabˠuːsˠəx
címíd	ˈciːmʲiːdʲ
ligean	ˈl̠ʲɪɟənˠ
draoithe	ˈd̪ˠɾˠiːhə
blaoisce	ˈbˠlˠiːʃcɪ
ceas	casˠ
gcodanna	ˈɡɔd̪ˠən̪ˠə
eitiú	ˈɛtʲuː
geas	ɟasˠ
dorchacht	ˈd̪ˠɔɾˠəxəxt̪ˠ
choda	ˈxɔd̪ˠə
deas	dʲasˠ
cháin	xɑːnʲ
sásta	ˈsˠɑːsˠt̪ˠə
phuca	ˈfˠʊkə
ómra	ˈoːmˠɾˠə
abacas	ˈabˠəkəsˠ
dearóil	ˈdʲaɾˠoːlʲ
rúnda	ˈɾˠuːn̪ˠd̪ˠə
faoi bhun	fˠiːˈwʊnˠ
feochan	ˈfʲoːxən̪ˠ
fásta	ˈfˠɑːsˠt̪ˠə
fiaclóir	ˈfʲiəklˠoːɾʲ
bhriste	ˈvʲɾʲɪʃtʲə
scaoth	sˠkiː
cheannach	ˈçan̪ˠəx
clois	klˠɔʃ
mbáisteach	ˈmˠaːʃtʲəx
cuntas	ˈkʊn̪ˠt̪ˠəsˠ
bhatar	ˈwat̪ˠəɾˠ
Connachta	ˈkon̪ˠəxt̪ˠə
phlúr	fˠlˠuːɾˠ
Doire	ˈd̪ˠɪɾʲə
deiseanna	ˈdʲɛʃən̪ˠə
siúr	ʃuːɾˠ
maireachtáil	ˈmˠaɾʲəxt̪ˠɑːlʲ
sa bhaile	sˠə ˈwalʲə
críoch	cɾʲiːx
ngéibheann	ˈɲeːvʲən̪ˠ
bhfiarthaí	ˈvʲiəɾˠhiː
cruitíneach	ˈkɾˠɪtʲiːnʲəx
umat	ˈʊmˠət̪ˠ
bpeacaí	ˈbʲakiː
uaigneach	ˈuəɟnʲəx
éist	eːʃtʲ
gcaitheann	ˈɡahən̪ˠ
furasta	ˈfˠʊɾˠəsˠt̪ˠə
caoimhe	ˈkiːvʲə
déanach	ˈdʲeːn̪ˠəx
teachta	ˈtʲaxt̪ˠə
truaill	t̪ˠɾˠuəl̠ʲ
plúr	pˠlˠuːɾˠ
mbas	mˠasˠ
póirse	ˈpˠoːɾˠʃə
barrach	ˈbˠaɾˠəx
bhacach	ˈwakəx
chiar	çiəɾˠ
meáite	ˈmʲɑːtʲə
cáiliúil	ˈkɑːlʲuːlʲ
cairéad	ˈkaɾʲeːd̪ˠ
uasghrádú	ˈuəsˠɣɾˠɑːd̪ˠuː
tuga	ˈt̪ˠʊɡə
seomraí	ˈʃoːmˠɾˠiː
thiar	hiəɾˠ
bóithre	ˈbˠoːhɾʲə
síoraí	ˈʃiːɾˠiː
turscar	ˈt̪ˠʊɾˠsˠkəɾˠ
gcaraid	ˈɡaɾˠədʲ
ghobtha	ˈɣɔpˠə
stail	sˠt̪ˠalʲ
Fianna Fáil	ˈfʲiən̪ˠə ˈfˠɑːlʲ
dlím	dʲlʲiːmʲ
sheaicéad	ˈhaceːd̪ˠ
brisfidh	ˈbʲɾʲɪʃə
oscailt	ˈɔsˠkəl̠ʲtʲ
aip	apʲ
béar	bʲeːɾˠ
cip	cɪpʲ
fógair	ˈfˠoːɡəɾʲ
caillim	ˈkal̠ʲəmʲ
caithim	ˈkahəmʲ
eascann	ˈasˠkən̪ˠ
fhearr	aːɾˠ
bhearr	vʲɑːɾˠ
cailín	ˈkalʲiːnʲ
imím	ˈimʲiːmʲ
féach	fʲeːx
clúid	klˠuːdʲ
méar	mʲeːɾˠ
thar sáile	haɾˠ ˈsˠɑːlʲə
tréigthe	ˈtʲɾʲeːcə
dhiúca	ˈjuːkə
géar	ɟeːɾˠ
buail	bˠuəlʲ
chead	çad̪ˠ
tháinig	ˈhɑːnʲɪɟ
brachán	ˈbˠɾˠaxɑːnˠ
déarfar	ˈdʲeːɾˠfˠəɾˠ
aspal	ˈasˠpˠəlˠ
molta	ˈmˠɔl̪ˠt̪ˠə
sáinn	sˠɑːn̠ʲ
dísc	dʲiːʃc
miadh	mʲiə
féadachtáil	ˈfʲeːd̪ˠəxt̪ˠɑːlʲ
rugamar	ˈɾˠʊɡəmˠəɾˠ
bhfís	vʲiːʃ
méadar	ˈmʲeːd̪ˠəɾˠ
cráifeach	ˈkɾˠɑːfʲəx
graeip	ɡɾˠeːpʲ
táirg	t̪ˠɑːɾʲɟ
cleite	ˈclʲɛtʲə
fuilim	ˈfˠɪlʲəmʲ
aiceann	ˈacən̪ˠ
cileagram	ˈcɪlʲəɡɾˠamˠ
feicthe	ˈfʲɛcə
cathair	ˈkahəɾʲ
beoracha	ˈbʲoːɾˠəxə
spéireata	ˈsˠpʲeːɾʲət̪ˠə
oifige	ˈɛfʲɪɟɪ
gealtacht	ˈɟal̪ˠt̪ˠəxt̪ˠ
lasas	ˈl̪ˠasˠəsˠ
geir	ɟɛɾʲ
ruag	ɾˠuəɡ
fleaite	ˈfʲlʲatʲə
aeir	eːɾʲ
beir	bʲɛɾʲ
deir	dʲɛɾʲ
cuimhnigh	ˈkivʲnʲiː
teir	tʲɛɾʲ
rialta	ˈɾˠiəl̪ˠt̪ˠə
seach	ʃax
teach	tʲax
Dia	dʲiə
táir	t̪ˠɑːɾʲ
báinín	ˈbˠɑːnʲiːnʲ
coitianta	ˈkɪtʲiən̪ˠt̪ˠə
fheoil	oːlʲ
cheoil	çoːlʲ
luibh	l̪ˠɪvʲ
imreoir	ˈɪmʲɾʲoːɾʲ
gáir	ɡɑːɾʲ
dáir	d̪ˠɑːɾʲ
fáiscim	ˈfˠɑːʃcəmʲ
cáin	kɑːnʲ
bád	bˠɑːd̪ˠ
gcaoi	ɡiː
údar	ˈuːd̪ˠəɾˠ
cúirialta	ˈkuːɾʲiəl̪ˠt̪ˠə
fia	fʲiə
thuas	huəsˠ
dia	dʲiə
bia	bʲiə
Oireachtas	ˈɛɾʲəxt̪ˠəsˠ
churach	ˈxʊɾˠəx
dhesean	ˈjɛʃənˠ
ábhal	ˈɑːwəlˠ
réaltra	ˈɾˠeːl̪ˠt̪ˠɾˠə
rúsc	ɾˠuːsˠk
suipéar	ˈsˠɪpʲeːɾˠ
tosaí	ˈt̪ˠɔsˠiː
chun	xʊnˠ
bhun	wʊnˠ
máthair	ˈmˠɑːhəɾʲ
pacáil	ˈpˠakɑːlʲ
scéalaithe	ˈʃceːlˠɪhə
inteacht	ˈɪn̠ʲtʲəxt̪ˠ
tlig	tʲlʲɪɟ
gcoinneal	ˈɡɪn̠ʲəlˠ
iontráil	ˈʊn̪ˠt̪ˠɾˠɑːlʲ
gasúir	ˈɡasˠuːɾʲ
chip	çɪpʲ
fiúntas	ˈfʲuːn̪ˠt̪ˠəsˠ
beich	bʲɛç
troimide	ˈt̪ˠɾˠɪmʲədʲə
thuiscint	ˈhɪʃcɪn̠ʲtʲ
heich	hɛç
amha	ˈawə
grúpa	ˈɡɾˠuːpˠə
píopa	ˈpʲiːpˠə
aimsire	ˈamʲʃəɾʲə
biachlár	ˈbʲiəxlˠɑːɾˠ
neach	n̠ʲax
heach	hax
céard	ceːɾˠd̪ˠ
aoibhinn	ˈiːvʲən̠ʲ
snag	sˠn̪ˠaɡ
néal	n̠ʲeːlˠ
díomhaoin	ˈdʲiːwiːnʲ
gruag	ɡɾˠuəɡ
réal	ɾˠeːlˠ
tharra	ˈhaɾˠə
mamach	ˈmˠamˠəx
éadálach	ˈeːd̪ˠɑːlˠəx
bua	bˠuə
dheora	ˈjoːɾˠə
ceisteach	ˈcɛʃtʲəx
dua	d̪ˠuə
dhíolann	ˈjiːlˠən̪ˠ
osa	ˈɔsˠə
crithim	ˈcɾʲɪhəmʲ
cumann	ˈkʊmˠən̪ˠ
teorainneacha	ˈtʲoːɾˠən̠ʲəxə
Spáinne	ˈsˠpˠɑːn̠ʲə
ata	ˈat̪ˠə
fuiseog	ˈfˠɪʃoːɡ
cuiseog	ˈkɪʃoːɡ
dragan	ˈd̪ˠɾˠaɡənˠ
suirí	ˈsˠɪɾʲiː
dúrabhair	ˈd̪ˠuːɾˠəwəɾʲ
tuathail	ˈt̪ˠuəhəlʲ
cnoc	kɾˠok
tar	t̪ˠaɾˠ
smíste	ˈsˠmʲiːʃtʲə
sia	ʃiə
gráinne	ˈɡɾˠɑːn̠ʲə
phálás	ˈfˠɑːlˠɑːsˠ
cipín	ˈcɪpʲiːnʲ
chím	çiːmʲ
criadh	cɾʲiə
Antóin	ˈan̪ˠt̪ˠoːnʲ
